"Date","Source","Site ID","POC","Daily Mean Pb Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/04/2013","AQS","420030008","1","0","ug/m3 LC",".","Lawrenceville","1","100.0000","14129","Lead (TSP) LC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"01/10/2013","AQS","420030008","1","0","ug/m3 LC",".","Lawrenceville","1","100.0000","14129","Lead (TSP) LC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"01/16/2013","AQS","420030008","1","0","ug/m3 LC",".","Lawrenceville","1","100.0000","14129","Lead (TSP) LC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"01/22/2013","AQS","420030008","1","0","ug/m3 LC",".","Lawrenceville","1","100.0000","14129","Lead (TSP) LC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"01/28/2013","AQS","420030008","1","0","ug/m3 LC",".","Lawrenceville","1","100.0000","14129","Lead (TSP) LC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"02/09/2013","AQS","420030008","1","0.013","ug/m3 LC",".","Lawrenceville","1","100.0000","14129","Lead (TSP) LC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"02/15/2013","AQS","420030008","1","0","ug/m3 LC",".","Lawrenceville","1","100.0000","14129","Lead (TSP) LC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"02/21/2013","AQS","420030008","1","0","ug/m3 LC",".","Lawrenceville","1","100.0000","14129","Lead (TSP) LC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"02/27/2013","AQS","420030008","1","0","ug/m3 LC",".","Lawrenceville","1","100.0000","14129","Lead (TSP) LC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"03/05/2013","AQS","420030008","1","0","ug/m3 LC",".","Lawrenceville","1","100.0000","14129","Lead (TSP) LC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
