X,Y,ORGANIZATION_NAME,CLIENT_NAME,SITE_NAME,PRIMARY_FACILITY_NAME,CLIENT_ID,SITE_ID,PRIMARY_FACILITY_ID,SUB_FACILITY_NAME,SUB_FACILITY_ID,PRIMARY_FACILITY_TYPE,PRIMARY_FACILITY_KIND,OTHER_FACILITY_ID,SUB_FACILITY_TYPE,SOTHER_FID,CLIENT_RELATIONSHIP,SITE_STATUS,PRIMARY_FACILITY_STATUS,SUB_FACILITY_STATUS,COMPLIANCE,SHAPE_FID
-8921581.8891,5065611.5244,H & H MATERIALS INC,H & H MATERIALS INC,HUTCHESON MINE,HUTCHESON MINE,62995,245091,250127,HUTCHESON MINE,961466,INDUSTRIAL MINERAL MINING OPERATION,SURFACE LARGE,4379306,MINERAL PREPARATION PLANT,4379306,Owner,ACTIVE,ACTIVE,ACTIVE,YES,4213695
-8946561.9431,5000139.6166,THREE RIVERS AGGREGATES LLC,THREE RIVERS AGGREGATES LLC,CARAVELLA MINE,CARAVELLA MINE,280279,237272,239580,CARAVELLA MINE,790071,INDUSTRIAL MINERAL MINING OPERATION,SURFACE LARGE,37930307,MINERAL PREPARATION PLANT,37930307,Owner,ACTIVE,ACTIVE,ACTIVE,YES,4225064
-8895447.7431,5162685.5972,ERIE AGGREGATES INC,ERIE AGGREGATES INC,ERIE AGGREGATES MINE,ERIE AGGREGATES MINE,62830,1841,2391,ERIE AGGREGATES MINE,8077,INDUSTRIAL MINERAL MINING OPERATION,SURFACE LARGE,3173SM11,MINERAL PREPARATION PLANT,3173SM11,Owner,ACTIVE,RECLAMATION COMPLETE,RECLAMATION COMPLETE,YES,4257534
-8871328.5199,4981089.1499,WINFIELD LIME & STONE CO INC,WINFIELD LIME & STONE CO INC,WINFIELD LIME & STONE MFG QUARRY,WEST WINFIELD MINE,27356,458677,646578,WEST WINFIELD MINE,789492,INDUSTRIAL MINERAL MINING OPERATION,UNDERGROUND,10010308,MINERAL PREPARATION PLANT,10010308,Owner,ACTIVE,RECLAMATION COMPLETE,RECLAMATION COMPLETE,YES,4263780
-8951880.5404,4989465.1358,THREE RIVERS AGGREGATES LLC,THREE RIVERS AGGREGATES LLC,PALMER MINE,PALMER MINE,280279,559114,573691,PALMER MINE,1125533,INDUSTRIAL MINERAL MINING OPERATION,SURFACE LARGE,04020301,MINERAL PREPARATION PLANT,04020301,Owner,ACTIVE,ACTIVE,ACTIVE,YES,4276783
-8952735.8543,5154867.0365,ELWOOD M GRUBBS,ELWOOD M GRUBBS,GRUBBS 2 GRAVEL MINE,GRUBBS 2 GRAVEL MINE,43195,4893,6615,GRUBBS 2 GRAVEL MINE,19870,INDUSTRIAL MINERAL MINING OPERATION,SURFACE LARGE,3174SM2,MINERAL PREPARATION PLANT,3174SM2,Owner,RECLAMATION COMPLETED,RECLAMATION COMPLETE,RECLAMATION COMPLETE,YES,4289000
-8808587.6185,5151580.2709,DICK CABLE GRAVEL PROD,DICK CABLE GRAVEL PROD,DICK CABLE MINE,DICK CABLE MINE,61350,2162,2861,DICK CABLE MINE,9220,INDUSTRIAL MINERAL MINING OPERATION,"SURFACE SMALL <2,000 TONS",314-1,MINERAL PREPARATION PLANT,314-1,Owner,RECLAMATION COMPLETED,RECLAMATION COMPLETE,RECLAMATION COMPLETE,YES,4290352
-8895416.8209,5030016.7353,ALLEGHENY MINERAL CORP,ALLEGHENY MINERAL CORP,TICHE MINE,TICHE MINE,410,219025,221007,TICHE MINE,542200,INDUSTRIAL MINERAL MINING OPERATION,SURFACE LARGE,10850306,MINERAL PREPARATION PLANT,10850306,Owner,ACTIVE,RECLAMATION COMPLETE,RECLAMATION COMPLETE,YES,4291286
-8838582.0365,5141276.7752,IA CONST CORP,IA CONST CORP,PITTSFIELD MINE,PITTSFIELD MINE,38354,3567,4813,PITTSFIELD MINE,14194,INDUSTRIAL MINERAL MINING OPERATION,SURFACE LARGE,4673SM10,MINERAL PREPARATION PLANT,4673SM10,Owner,ACTIVE,RECLAMATION COMPLETE,RECLAMATION COMPLETE,YES,4294032
-8838520.1928,5139740.5124,GLENN O HAWBAKER INC,GLENN O HAWBAKER INC,BROKENSTRAW GRAVEL MINE,BROKENSTRAW GRAVEL MINE,8338,239725,242908,BROKENSTRAW GRAVEL MINE,208416,INDUSTRIAL MINERAL MINING OPERATION,SURFACE LARGE,4876SM20,MINERAL PREPARATION PLANT,4876SM20,Owner,ACTIVE,ACTIVE,ACTIVE,YES,4306751
